id,username,price,likes,size,brand,title,img_link,link,scrap_date
4190058597,tom.tom30,9.0,0,M / 38 / 10,Nike,Jogging Nike,https://images1.vinted.net/t/01_015fd_czrzgsBpKb3hPBwXKkBx6ggX/310x430/1709744269.jpeg?s=95636484c295699a416a79f8071375f25c57a5cd,https://www.vinted.fr/items/4190058597-jogging-nike?referrer=catalog,2024-03-06 17:20:59
4190170813,l1e2o3b4a5y6e7u8l9,20.0,0,M,Nike,Pantalon effet coupe vent nike ,https://images1.vinted.net/t/02_01800_9VK2Z3HEaUCriyrxgwdzcwHK/310x430/1709745623.jpeg?s=cace77c8bf36538eee92f8084a56118f57bc78bf,https://www.vinted.fr/items/4190170813-pantalon-effet-coupe-vent-nike?referrer=catalog,2024-03-06 17:20:59
4190162840,debord_tom,65.0,0,M,Nike,Ensemble sweat/jogging Nike ,https://images1.vinted.net/t/03_01a6a_ipc4CxG3xgNoNPkcgA7waQ4o/310x430/1709745526.jpeg?s=9df107060208d256d938c858db6bb0b460830931,https://www.vinted.fr/items/4190162840-ensemble-sweatjogging-nike?referrer=catalog,2024-03-06 17:20:59
4190162455,lad1.3,20.0,0,M,Nike,Pantalon Nike,https://images1.vinted.net/t/01_01811_aY9LCbUpQdc1H4typgBarRqa/310x430/1709745521.jpeg?s=e5efc1006fb386556d9e49af302f08082ee8dd80,https://www.vinted.fr/items/4190162455-pantalon-nike?referrer=catalog,2024-03-06 17:20:59
4190162057,enzolevieux,34.9,1,M,Nike,Parachute Track suit Nike blanc 2000s M,https://images1.vinted.net/t/02_016b1_1k85eVboE6UVbiTeZwQod1n8/310x430/1709745516.jpeg?s=ac55c5bd3e311dce222b8e9e44785659a1dedb8c,https://www.vinted.fr/items/4190162057-parachute-track-suit-nike-blanc-2000s-m?referrer=catalog,2024-03-06 17:20:59
4190161653,timi2sky,10.0,0,S / 36 / 8,Nike,Jogging Nike ,https://images1.vinted.net/t/01_023f9_8p7JitfGAWXwnHZMThhjqURf/310x430/1709745511.jpeg?s=9ab7dd4d23bf6723bb0c6664080fb3b25bf3b9c9,https://www.vinted.fr/items/4190161653-jogging-nike?referrer=catalog,2024-03-06 17:20:59
4190157769,killian.turpin,23.0,0,S / 36 / 8,Nike,Jogging Nike vert kaki S,https://images1.vinted.net/t/03_0028a_EXFDgL744BZ8KdUBYZt9eJ1h/310x430/1709745463.jpeg?s=8122663a0895db041d01e487fdef054b5a3b2233,https://www.vinted.fr/items/4190157769-jogging-nike-vert-kaki-s?referrer=catalog,2024-03-06 17:20:59
4190157729,cyrilproteinescenter,40.0,0,S,Nike Air,Vend Jogging Nike Air  enfant,https://images1.vinted.net/t/01_01446_DVAUWzLte7daXtWkGnRvWrtb/310x430/1709745462.jpeg?s=838048daf9e1d0e74830519830947de504491821,https://www.vinted.fr/items/4190157729-vend-jogging-nike-air-enfant?referrer=catalog,2024-03-06 17:20:59
4190155629,merkspullen,25.0,0,M / 38 / 10,Nike,Sport broek Nike maat M zwart legging,https://images1.vinted.net/t/01_01d24_3tav5vUifvRra3fCPedmNd4h/310x430/1709745436.jpeg?s=c77d93b88c4d0123e42eed7ff82ce1208a653f98,https://www.vinted.fr/items/4190155629-sport-broek-nike-maat-m-zwart-legging?referrer=catalog,2024-03-06 17:20:59
4190153073,l2n971lbdr,20.0,0,S,Nike,Nike tech,https://images1.vinted.net/t/02_00fb0_dGcPwWP2a1THEDY17dyPCKT2/310x430/1709745406.jpeg?s=e6d7e0798600a377ce0066d91b1643fbbf043bd2,https://www.vinted.fr/items/4190153073-nike-tech?referrer=catalog,2024-03-06 17:20:59
4190144123,mallau33,20.0,2,S / 36 / 8,Nike,Ensemble Nike pro ,https://images1.vinted.net/t/03_006f7_qXPhFUjC9fnRu3UZEMGCuVoA/310x430/1709745296.jpeg?s=1a6ecd6b39f493933f20aaa28bc515606c9ceeec,https://www.vinted.fr/items/4190144123-ensemble-nike-pro?referrer=catalog,2024-03-06 17:20:59
4190137247,killian.turpin,59.99,0,S / 36 / 8,Nike,Ensemble Nike fleece bleu clair M,https://images1.vinted.net/t/02_0164c_NDWuKnMzvNdVcVQ5gTFB9cp1/310x430/1709745211.jpeg?s=4bac726de1efa3b7ddc8e1386723c26b510ec9e5,https://www.vinted.fr/items/4190137247-ensemble-nike-fleece-bleu-clair-m?referrer=catalog,2024-03-06 17:20:59
4190135943,arthur.jsph83300,8.0,0,S / 36 / 8,Nike,Jogging noire nike et blanc ,https://images1.vinted.net/t/03_02509_5SZpMbXXXC9ZiwYqgrL4LkmV/310x430/1709745196.jpeg?s=8a6ee25a8ab350f62b74faf2e8a638e64b30ca04,https://www.vinted.fr/items/4190135943-jogging-noire-nike-et-blanc?referrer=catalog,2024-03-06 17:20:59
4190131843,feuorphelin04,90.0,0,M,Nike,Ensemble de survêtement Nike,https://images1.vinted.net/t/03_022ac_Dnb1ubKKySqvEkRpcT4i32bC/310x430/1709745145.jpeg?s=62571de63bfa9e1667fe9ac926ef04c2a9aee27d,https://www.vinted.fr/items/4190131843-ensemble-de-survetement-nike?referrer=catalog,2024-03-06 17:20:59
